full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"1333 Jake Alexander Blvd S, Salisbury, NC, 28146",-80.4809359,35.6402478,800394,Rowan-Salisbury Schools,Rowan Co Early College,B,77,0,28146,Regular School,Traditional Calendar,227,8,28.375,5682.81,1066.11,1829.49,8578.41
"1333 West Charity Road, Rose Hill, NC, 28458",-77.968334,34.824083,310324,Duplin County Schools,Charity Middle,D,46,0.83,28458,Regular School,Traditional Calendar,483,32,15.09375,6345.98,1233.78,1377.45,8957.21
"13345 Beatties Ford Rd, Huntersville, NC, 28078",-80.924715,35.3967677,600394,Charlotte-Mecklenburg Schools,Francis Bradley Middle,B,77,0.19,28078,Regular School,Traditional Calendar,1074,66,16.27272727,5227.1,942.34,2352.27,8521.71
"13353 NC Highway 210, Benson, NC, 27504",-78.5775695,35.5163161,510359,Johnston County Schools,McGee's Crossroads Middle,C,64,0.58,27504,Regular School,Traditional Calendar,861,50,17.22,5602.21,791.56,1775.07,8168.84
"1337 Broadway Rd, Sanford, NC, 27330",-79.1136716,35.4611992,530314,Lee County Schools,East Lee Middle,C,56,1.98,27330,Regular School,Traditional Calendar,658,43,15.30232558,5638.31,997.68,2040.07,8676.06
"1337 Giles Byrd Road, Hallsboro, NC, 28442",-78.579522,34.312593,240354,Columbus County Schools,Hallsboro-Artesia Elementary,D,46,0.55,28442,Regular School,Traditional Calendar,361,24,15.04166667,6637.46,1705.1,1156.11,9498.67
"134 Laurel Street, Bakersville, NC, 28705",-82.152218,36.012928,610320,Mitchell County Schools,Gouge Elementary,C,55,0,28705,Regular School,Traditional Calendar,254,21,12.0952381,8013.64,933.03,1673.23,10619.9
"134 N Pierce St, Eden, NC, 27288",-79.735951,36.505088,790354,Rockingham County Schools,John M Morehead High,D,54,1.44,27288,Regular School,Traditional Calendar,904,53,17.05660377,6136.93,1036.06,1622.43,8795.42
"1345 Wells Grove Rd, Franklin, NC, 28734",-83.358035,35.162214,560330,Macon County Schools,Macon Middle School,C,65,0,28734,Regular School,Traditional Calendar,564,41,13.75609756,6246.36,1118.33,2139.06,9503.75
"135 Arlington Ave, Bryson City, NC, 28713",-83.4488439,35.423635,870318,Swain County Schools,Swain County Middle School,C,57,1.52,28713,Regular School,Traditional Calendar,395,37,10.67567568,7965.69,1380.82,2143.79,11490.3
"135 Old Virginia Rd, Elkin, NC, 28621",-80.854315,36.245685,861304,Elkin City Schools,Elkin Elementary,B,73,0,28621,Regular School,Traditional Calendar,620,46,13.47826087,6791.75,883.95,2341.34,10017.04
"135 School Drive, Hayesville, NC, 28904",-83.8173212,35.0407949,220312,Clay County Schools,Hayesville Middle,C,60,0.23,28904,Regular School,Traditional Calendar,439,27,16.25925926,7812.03,950.39,1518.16,10280.58
"1350 N Stokes Sch Rd, Danbury, NC, 27016",-80.28031,36.464439,850332,Stokes County Schools,North Stokes High,B,76,1.06,27016,Regular School,Traditional Calendar,378,35,10.8,6572.72,1127.27,1867.71,9567.7
"1350 Panther Trail SE, Lenoir, NC, 28645",-81.4964715,35.925135,140348,Caldwell County Schools,Hibriten High,C,66,0.36,28645,Regular School,Traditional Calendar,834,64,13.03125,6184.32,971.52,1797.03,8952.87
"1350 Yadkin River Road, Lenoir, NC, 28645",-81.560705,35.99682,140344,Caldwell County Schools,Happy Valley Elementary,C,64,0.77,28645,Regular School,Traditional Calendar,259,17,15.23529412,6184.32,971.52,1797.03,8952.87
"13501 Albemarle Rd, Charlotte, NC, 28227",-80.6252576,35.2239186,600338,Charlotte-Mecklenburg Schools,Clear Creek Elementary,B,73,1.45,28227,Regular School,Traditional Calendar,621,37,16.78378378,5227.1,942.34,2352.27,8521.71
"1355 Charlotte Hwy, Fairview, NC, 28730",-82.4109641,35.5227569,110356,Buncombe County Schools,Fairview Elementary,B,80,0,28730,Regular School,Traditional Calendar,671,43,15.60465116,5669,917.31,2493.43,9079.74
"1355 Cox Mill Rd, Concord, NC, 28027",-80.7288796,35.39528,130307,Cabarrus County Schools,Cox Mill High School,B,81,1.13,28027,Regular School,Traditional Calendar,1598,86,18.58139535,5218.56,638.81,2168.65,8026.02
"13587 Hwy 481, Enfield, NC, 27823",-77.695227,36.1784719,420340,Halifax County Schools,Inborden Elementary,C,57,0,27823,Regular School,Traditional Calendar,312,18,17.33333333,7466.23,2847.1,998.15,11311.48
"136 Marginal St, Cooleemee, NC, 27014",-80.5522677,35.8149099,300308,Davie County Schools,Cooleemee Elementary,C,62,0.63,27014,Regular School,Traditional Calendar,479,34,14.08823529,5729.1,808.62,2069.73,8607.45
"136 W Sycamore Avenue, Wake Forest, NC, 27587",-78.514483,35.976455,920584,Wake County Schools,Wake Forest Elementary,C,68,0.19,27587,Regular School,Traditional Calendar,523,37,14.13513514,5349.09,659.07,2528.16,8536.32
"1361 Rim Road, Fayetteville, NC, 28314",-79.044901,35.0516706,260398,Cumberland County Schools,E E Miller Elementary,C,67,1.14,28314,Regular School,Year-Round Calendar,527,39,13.51282051,5413.29,1180.42,1671.5,8265.21
"13620 Erwin Rd, Charlotte, NC, 28273",-80.9716614,35.1153606,600436,Charlotte-Mecklenburg Schools,Lake Wylie Elementary,C,65,0,28273,Regular School,Traditional Calendar,653,41,15.92682927,5227.1,942.34,2352.27,8521.71
"13624 Steele Creek Rd, Charlotte, NC, 28273",-80.990888,35.107166,600538,Charlotte-Mecklenburg Schools,Southwest Middle School,C,60,0.22,28273,Regular School,Traditional Calendar,1386,76,18.23684211,5227.1,942.34,2352.27,8521.71
"13659 Beatties Ford Rd, Huntersville, NC, 28078",-80.9242668,35.3995109,600328,Charlotte-Mecklenburg Schools,Barnette Elementary,B,76,0,28078,Regular School,Traditional Calendar,658,36,18.27777778,5227.1,942.34,2352.27,8521.71
"1366 Wildcat Trail, Lenoir, NC, 28645",-81.4974447,35.9238512,140368,Caldwell County Schools,William Lenoir Middle,C,68,0.36,28645,Regular School,Traditional Calendar,559,37,15.10810811,6184.32,971.52,1797.03,8952.87
"137 Stowe Road, Gastonia, NC, 28056",-81.083196,35.209822,360464,Gaston County Schools,New Hope Elementary,C,67,0,28056,Regular School,Traditional Calendar,543,28,19.39285714,5402.62,971.33,1724.46,8098.41
"13723 Hwy 481, Enfield, NC, 27823",-77.6973621,36.1785367,420324,Halifax County Schools,Enfield Middle,F,31,0.47,27823,Regular School,Traditional Calendar,215,18,11.94444444,7466.23,2847.1,998.15,11311.48
"138 Bethel School Rd, Sugar Grove, NC, 28679",-81.848156,36.29486,950308,Watauga County Schools,Bethel Elementary,C,56,0,28679,Regular School,Traditional Calendar,177,17,10.41176471,5987.48,751.97,3291.85,10031.3
"138 Lyman Road, Beulaville, NC, 28518",-77.764042,34.919506,310308,Duplin County Schools,Beulaville Elementary,C,55,0.22,28518,Regular School,Traditional Calendar,915,59,15.50847458,6345.98,1233.78,1377.45,8957.21
"1385 W Clemmonsville Road, Winston Salem, NC, 27127",-80.2645469,36.041069,340384,Forsyth County Schools,Griffith Elementary,D,40,0.32,27127,Regular School,Traditional Calendar,633,47,13.46808511,5616.37,1080.06,2335.59,9032.02
"1388 West NC 403 Highway, Mt. Olive, NC, 28365",-78.0851689,35.133196,310364,Duplin County Schools,North Duplin Jr Sr High,C,61,0.19,28365,Regular School,Traditional Calendar,521,34,15.32352941,6345.98,1233.78,1377.45,8957.21
"139 Harmony School Road, Harmony, NC, 28634",-80.7718599,35.9616317,490332,Iredell-Statesville Schools,Harmony Elementary,B,73,0,28634,Regular School,Traditional Calendar,408,27,15.11111111,5234.47,923.73,1816.63,7974.83
"139 South Toe School Rd, Burnsville, NC, 28714",-82.18813,35.839666,995336,Yancey County Schools,South Toe Elementary,A,85,0,28714,Regular School,Traditional Calendar,107,8,13.375,7230.17,1297.05,2203,10730.22
"1394 Norwayne School Road, Fremont, NC, 27830",-77.953612,35.514201,960360,Wayne County Public Schools,Norwayne Middle,C,66,0.56,27830,Regular School,Traditional Calendar,898,56,16.03571429,6171.58,1200.4,1188.1,8560.08
"140 Jesse Green Road, Thomasville, NC, 27360",-80.134568,35.9640132,290336,Davidson County Schools,Ledford Senior High,B,80,1.52,27360,Regular School,Traditional Calendar,1254,67,18.71641791,5611.71,782.5,1626.28,8020.49
"140 School Drive, Snow Hill, NC, 28580",-77.6703486,35.479783,400308,Greene County Schools,Greene Central High,C,56,1.37,28580,Regular School,Traditional Calendar,877,57,15.38596491,7438.35,1378.91,1151.06,9968.32
"1400 Baton School Road, Granite Falls, NC, 28630",-81.536672,35.809198,140304,Caldwell County Schools,Baton Elementary,B,70,0,28630,Regular School,Traditional Calendar,412,26,15.84615385,6184.32,971.52,1797.03,8952.87
"1400 Bethlehem Road, Rocky Mount, NC, 27803",-77.8357419,35.939355,640361,Nash-Rocky Mount Schools,Rocky Mount High,C,58,0.95,27803,Regular School,Traditional Calendar,1263,79,15.98734177,5964.99,1270.05,1721.59,8956.63
"1400 Bloomtown Rd, East Bend, NC, 27018",-80.4952509,36.1236527,990320,Yadkin County Schools,Forbush Elementary,B,75,0,27018,Regular School,Traditional Calendar,249,16,15.5625,6463.63,1067.33,1696.76,9227.72
"1400 Cuthbertson Rd, Waxhaw, NC, 28173",-80.7391584,34.9754301,900311,Union County Public Schools,Cuthbertson High,A,93,0.66,28173,Regular School,Traditional Calendar,1517,73,20.78082192,5200.55,578.12,2335.55,8114.22
"1400 Gold Rush Drive, Concord, NC, 28025",-80.5534214,35.4181365,130342,Cabarrus County Schools,W M Irvin Elementary,D,54,0,28025,Regular School,Traditional Calendar,752,57,13.19298246,5218.56,638.81,2168.65,8026.02
"1400 Grant Avenue, Winston Salem, NC, 27105",-80.2596579,36.1139307,340480,Forsyth County Schools,Paisley IB Magnet School,C,55,0.77,27105,Magnet School,Traditional Calendar,780,52,15,5616.37,1080.06,2335.59,9032.02
"1400 Grove St N, Wilson, NC, 27893",-77.917819,35.7448333,980396,Wilson County Schools,Wells Elementary,C,59,0.74,27893,Regular School,Traditional Calendar,538,32,16.8125,5699.78,1155.97,1659.9,8515.65
"1400 Howard Avenue, Tarboro, NC, 27886",-77.559107,35.9020577,330358,Edgecombe County Public School,Tarboro High,D,54,1.86,27886,Regular School,Traditional Calendar,592,39,15.17948718,6571.37,1622.02,1127.51,9320.9
"1400 Jackson Street, Kannapolis, NC, 28083",-80.602863,35.504073,132328,Kannapolis City Schools,Jackson Park Elementary,C,56,0,28083,Regular School,Traditional Calendar,465,35,13.28571429,5684.14,1193.68,2163.09,9040.91
"1400 New Garden Road, Greensboro, NC, 27410",-79.8844003,36.1052449,410423,Guilford County Schools,Jefferson Elementary,C,69,0.32,27410,Regular School,Traditional Calendar,624,44,14.18181818,5453.57,1087.81,2785.51,9326.89
"1400 Northwest Boulevard, Winston Salem, NC, 27104",-80.2647741,36.1001068,340564,Forsyth County Schools,Wiley Middle,D,48,1.32,27104,Regular School,Traditional Calendar,605,42,14.4047619,5616.37,1080.06,2335.59,9032.02
"1400 Pine Hall Road, Pine Hall, NC, 27042",-80.048818,36.32907,850336,Stokes County Schools,Pine Hall Elementary,C,59,0,27042,Regular School,Traditional Calendar,164,12,13.66666667,6572.72,1127.27,1867.71,9567.7
"1400 Priddy Road, King, NC, 27021",-80.3758359,36.3140098,850358,Stokes County Schools,West Stokes High,C,68,0.11,27021,Regular School,Traditional Calendar,900,64,14.0625,6572.72,1127.27,1867.71,9567.7
"1400 Puett's Chapel Road, Bessemer City, NC, 28016",-81.2753965,35.3025408,360332,Gaston County Schools,Bessemer City Central Elem,F,39,0,28016,Regular School,Traditional Calendar,436,26,16.76923077,5402.62,971.33,1724.46,8098.41
"1401 Avent Ferry Road, Holly Springs, NC, 27540",-78.8485867,35.631373,920458,Wake County Schools,Holly Grove Middle,B,76,0.2,27540,Regular School,Year-Round Calendar,1487,85,17.49411765,5349.09,659.07,2528.16,8536.32
"1401 Pine Street, Kannapolis, NC, 28081",-80.646735,35.4969046,132312,Kannapolis City Schools,Fred L Wilson Elementary,D,45,0,28081,Regular School,Traditional Calendar,367,29,12.65517241,5684.14,1193.68,2163.09,9040.91
"14015 Mallard Roost Rd, Charlotte, NC, 28262",-80.7254373,35.3483799,600521,Charlotte-Mecklenburg Schools,Stoney Creek Elementary,C,62,0,28262,Regular School,Traditional Calendar,807,55,14.67272727,5227.1,942.34,2352.27,8521.71
"1406 McDonald Ave, Hamlet, NC, 28345",-79.72095,34.8906598,770328,Richmond County Schools,Hamlet Middle,C,63,0,28345,Regular School,Traditional Calendar,509,37,13.75675676,6458.78,1413.7,1287.91,9160.39
"1407 Peartree Rd, Elizabeth City, NC, 27909",-76.2243629,36.2835366,700318,Pasquotank County Schools,Pasquotank Elementary,D,46,0,27909,Regular School,Traditional Calendar,375,27,13.88888889,6188.79,1185.64,1971.82,9346.25
"1408 Lake Road, Thomasville, NC, 27360",-80.102208,35.850511,290324,Davidson County Schools,East Davidson High,B,74,2.31,27360,Regular School,Traditional Calendar,910,58,15.68965517,5611.71,782.5,1626.28,8020.49
"1408 Walker Avenue, Greensboro, NC, 27412",-79.8133027,36.0690017,410579,Guilford County Schools,UNCG Early/Middle College,B,83,0,27412,Regular School,Traditional Calendar,200,14,14.28571429,5453.57,1087.81,2785.51,9326.89
"1409 Wesley Chapel Rd, Indian Trail, NC, 28079",-80.6495422,35.0424299,900362,Union County Public Schools,Sun Valley Middle,C,69,0.91,28079,Regular School,Traditional Calendar,1322,69,19.15942029,5200.55,578.12,2335.55,8114.22
"141 Carolina Forest Boulevard, Jacksonville, NC, 28546",-77.409274,34.811427,670310,Onslow County Schools,Carolina Forest Elementary,B,74,0,28546,Regular School,Traditional Calendar,856,49,17.46938776,5247.34,697.11,2055.04,7999.49
"141 College Drive, Albemarle, NC, 28001",-80.2329307,35.3364448,840361,Stanly County Schools,Stanly Early College High,A,87,0,28001,Regular School,Traditional Calendar,198,8,24.75,6061.38,879.35,1395.28,8336.01
"141 Frank's Crossing Loop, Mooresville, NC, 28115",-80.8123799,35.5176781,490318,Iredell-Statesville Schools,Coddle Creek Elementary,B,77,0,28115,Regular School,Traditional Calendar,538,29,18.55172414,5234.47,923.73,1816.63,7974.83
"141 James Street, Vass, NC, 28394",-79.29243,35.250455,630364,Moore County Schools,Vass-Lakeview Elementary,C,61,0,28394,Regular School,Traditional Calendar,641,44,14.56818182,5415.15,939.35,2343.89,8698.39
"141 Trail One, Burlington, NC, 27215",-79.4607687,36.0800157,10351,Alamance-Burlington Schools,Grove Park Elementary,D,46,0.46,27215,Regular School,Traditional Calendar,654,42,15.57142857,5529.5,1155.92,1832.54,8517.96
"1410 McNeill Road, Sanford, NC, 27330",-79.1836928,35.5084556,530302,Lee County Schools,BT Bullock Elementary,C,60,0.43,27330,Regular School,Traditional Calendar,700,44,15.90909091,5638.31,997.68,2040.07,8676.06
"1410 Pearl St, Statesville, NC, 28677",-80.9112357,35.7881576,490345,Iredell-Statesville Schools,N B Mills Elementary,F,39,0,28677,Regular School,Traditional Calendar,455,35,13,5234.47,923.73,1816.63,7974.83
"1411 Hawthorne Ln, Charlotte, NC, 28205",-80.8147727,35.2288783,600386,Charlotte-Mecklenburg Schools,Hawthorne High,B,81,0,28205,Regular School,Traditional Calendar,133,21,6.333333333,5227.1,942.34,2352.27,8521.71
"1412 Belvedere Avenue, Fayetteville, NC, 28305",-78.9038332,35.0713039,260386,Cumberland County Schools,Margaret Willis Elementary,C,62,0,28305,Regular School,Traditional Calendar,316,25,12.64,5413.29,1180.42,1671.5,8265.21
"1413 Hampton Valley Rd, Cary, NC, 27511",-78.774601,35.757938,920414,Wake County Schools,Farmington Woods Elementary,B,78,0,27511,Magnet School,Traditional Calendar,737,52,14.17307692,5349.09,659.07,2528.16,8536.32
"1415 Beatties Ford Rd, Charlotte, NC, 28216",-80.856305,35.256825,600482,Charlotte-Mecklenburg Schools,Northwest School of the Arts,B,84,0.7,28216,Magnet School,Traditional Calendar,995,64,15.546875,5227.1,942.34,2352.27,8521.71
"1415 Fontana Road, Bryson City, NC, 28713",-83.4563177,35.4472269,870314,Swain County Schools,Swain County High School,C,56,1.48,28713,Regular School,Traditional Calendar,540,48,11.25,7965.69,1380.82,2143.79,11490.3
"1415 Hamilton St, Charlotte, NC, 28206",-80.8415454,35.2440652,600574,Charlotte-Mecklenburg Schools,Walter G Byers School,F,39,1.98,28206,Regular School,Year-Round Calendar,455,45,10.11111111,5227.1,942.34,2352.27,8521.71
"1417 Old Oxford Highway, Durham, NC, 27704",-78.871103,36.0577148,320369,Durham Public Schools,Sandy Ridge Elementary,D,54,0.17,27704,Magnet School,Traditional Calendar,584,43,13.58139535,5829.04,1126.43,3601.48,10556.95
"1420 Athens Drive, Raleigh, NC, 27606",-78.7113269,35.7686517,920318,Wake County Schools,Athens Drive High,B,71,1.62,27606,Regular School,Traditional Calendar,1849,123,15.03252033,5349.09,659.07,2528.16,8536.32
"1420 Burgaw Hwy, Jacksonville, NC, 28540",-77.4826176,34.7501974,670344,Onslow County Schools,Southwest High,C,60,1.65,28540,Regular School,Traditional Calendar,728,43,16.93023256,5247.34,697.11,2055.04,7999.49
"1425 Adcock Road, Lillington, NC, 27546",-78.9527762,35.3995087,430316,Harnett County Schools,Boone Trail Elementary,C,62,0,27546,Regular School,Traditional Calendar,970,58,16.72413793,5730.98,945.13,1423.2,8099.31
"1425 Berkley Street SW, Lenoir, NC, 28645",-81.5235679,35.8899199,140396,Caldwell County Schools,Whitnel Elementary,C,59,0,28645,Regular School,Traditional Calendar,302,24,12.58333333,6184.32,971.52,1797.03,8952.87
"1425 Carnage Dr, Raleigh, NC, 27610",-78.6282881,35.761925,920356,Wake County Schools,Carnage Middle,C,68,0.27,27610,Magnet School,Traditional Calendar,1092,67,16.29850746,5349.09,659.07,2528.16,8536.32
"1426 Green Lake Rd, Ellerbe, NC, 28338",-79.7539483,35.0613666,770344,Richmond County Schools,Mineral Springs Elementary,C,66,0.67,28338,Regular School,Traditional Calendar,450,30,15,6458.78,1413.7,1287.91,9160.39
"1430 Alleghany St, Charlotte, NC, 28208",-80.8917997,35.2389705,600496,Charlotte-Mecklenburg Schools,Phillip O Berry Academy of Technology,B,78,1.65,28208,Magnet School,Traditional Calendar,1636,92,17.7826087,5227.1,942.34,2352.27,8521.71
"1430 Allenbrook Dr, Charlotte, NC, 28208",-80.9151119,35.261705,600308,Charlotte-Mecklenburg Schools,Allenbrook Elementary,D,47,1.3,28208,Regular School,Traditional Calendar,537,37,14.51351351,5227.1,942.34,2352.27,8521.71
"1431 Falcon Rd, East Bend, NC, 27018",-80.556528,36.139654,990321,Yadkin County Schools,Forbush Middle,C,65,1.79,27018,Regular School,Traditional Calendar,447,28,15.96428571,6463.63,1067.33,1696.76,9227.72
"1431 Mecklenburg Hwy, Mooresville, NC, 28115",-80.84459,35.546646,490344,Iredell-Statesville Schools,Mount Mourne School,A,95,0,28115,Regular School,Traditional Calendar,446,26,17.15384615,5234.47,923.73,1816.63,7974.83
"14328 NC Hwy 210, Rocky Point, NC, 28457",-77.8896794,34.4343921,710321,Pender County Schools,Heide Trask High,C,63,1,28457,Regular School,Traditional Calendar,697,50,13.94,5654.16,947.06,1916.08,8517.3
"1438 Coddle Creek Hwy, Mooresville, NC, 28115",-80.7828688,35.5528943,491306,Mooresville City Schools,Mooresville Intermediate,B,71,0,28115,Regular School,Traditional Calendar,772,45,17.15555556,5206.48,506.75,2767.31,8480.54
"144 Archie Road, West End, NC, 27376",-79.5316265,35.2252321,630374,Moore County Schools,West Pine Middle,B,73,0.12,27376,Regular School,Traditional Calendar,817,49,16.67346939,5415.15,939.35,2343.89,8698.39
"144 William Ellis Drive, Advance, NC, 27006",-80.4071784,35.929299,300337,Davie County Schools,William Ellis Middle,B,72,0.6,27006,Regular School,Traditional Calendar,496,36,13.77777778,5729.1,808.62,2069.73,8607.45
"1440 Union Church Road, Shelby, NC, 28150",-81.6181383,35.3887592,230370,Cleveland County Schools,Union Elementary,C,67,0,28150,Regular School,Traditional Calendar,398,28,14.21428571,5967.87,1248.84,2035.02,9251.73
"1445 Oakwood Avenue, Kannapolis, NC, 28081",-80.6387447,35.467353,132330,Kannapolis City Schools,Kannapolis Middle,D,48,1.3,28081,Regular School,Traditional Calendar,848,53,16,5684.14,1193.68,2163.09,9040.91
"145 Hertford Co High School Rd, Ahoskie, NC, 27910",-76.993872,36.295519,460312,Hertford County Schools,Bearfield Primary,C,59,0.14,27910,Regular School,Traditional Calendar,691,48,14.39583333,7665.45,1738.6,1285.09,10689.14
"145 Pilot School Road, Thomasville, NC, 27360",-80.133931,35.878923,290352,Davidson County Schools,Pilot Elementary,C,62,0,27360,Regular School,Traditional Calendar,449,28,16.03571429,5611.71,782.5,1626.28,8020.49
"1450 Cox Mill Road, Concord, NC, 28027",-80.732451,35.3935995,130319,Cabarrus County Schools,Cox Mill Elementary,A,85,0,28027,Regular School,Traditional Calendar,1111,65,17.09230769,5218.56,638.81,2168.65,8026.02
"1451 Avent Ferry Road, Holly Springs, NC, 27540",-78.8503362,35.6316305,920457,Wake County Schools,Holly Grove Elementary,A,87,0,27540,Regular School,Year-Round Calendar,1172,77,15.22077922,5349.09,659.07,2528.16,8536.32
"1455 Buffalo Rd, Smithfield, NC, 27577",-78.335091,35.5288388,510397,Johnston County Schools,Smithfield Middle,C,56,0.42,27577,Regular School,Traditional Calendar,707,58,12.18965517,5602.21,791.56,1775.07,8168.84
"1455 Hoke Loop Road, Fayetteville, NC, 28314",-79.076527,35.0494218,260407,Cumberland County Schools,Lake Rim Elementary,B,70,0.63,28314,Regular School,Traditional Calendar,639,41,15.58536585,5413.29,1180.42,1671.5,8265.21
"14550 Ranson Rd, Huntersville, NC, 28078",-80.8736534,35.412421,600557,Charlotte-Mecklenburg Schools,Torrence Creek Elementary,A,85,0.19,28078,Regular School,Traditional Calendar,518,29,17.86206897,5227.1,942.34,2352.27,8521.71
"1459 Tobe Stalcup Road, Murphy, NC, 28906",-84.0184445,35.0192237,200320,Cherokee County Schools,Martins Creek Elementary/Mid,C,65,0,28906,Regular School,Traditional Calendar,237,22,10.77272727,6200.75,1537.68,2426.7,10165.13
"1463 Love Memorial Sch Rd, Lincolnton, NC, 28092",-81.27549,35.448966,550336,Lincoln County Schools,Love Memorial Elementary,C,66,0,28092,Regular School,Traditional Calendar,303,25,12.12,5501.99,880.28,1777.78,8160.05
"1463 Pleasant Union Road, Trinity, NC, 27370",-79.9917269,35.7166894,760382,Randolph County Schools,Uwharrie Middle,D,54,1.12,27370,Regular School,Traditional Calendar,356,24,14.83333333,5756.15,1039.15,1371.15,8166.45
"147 Warrior Drive, Mount Gilead, NC, 27306",-79.9601527,35.2966485,620340,Montgomery County Schools,West Montgomery High,C,67,0.18,27306,Regular School,Traditional Calendar,546,36,15.16666667,6723.81,1409.03,1984.2,10117.04
"1471 Holland Road, Greenville, NC, 27834",-77.478954,35.738456,740375,Pitt County Schools,Northwest Elementary,F,38,2.06,27834,Regular School,Traditional Calendar,389,29,13.4137931,5616.83,1125.24,1932.31,8674.38
"1475 Boyette Road, Four Oaks, NC, 27524",-78.404012,35.448782,510342,Johnston County Schools,Four Oaks Middle,C,61,0.2,27524,Regular School,Traditional Calendar,501,32,15.65625,5602.21,791.56,1775.07,8168.84
"1480 South Dekalb Street, Shelby, NC, 28152",-81.5499321,35.2646632,230362,Cleveland County Schools,Shelby Middle,C,59,1.1,28152,Regular School,Traditional Calendar,456,36,12.66666667,5967.87,1248.84,2035.02,9251.73
"14888 Hwy 87 West, Tar Heel, NC, 28392",-78.7943023,34.7366219,90365,Bladen County Schools,Tar Heel Middle,D,51,0.32,28392,Regular School,Traditional Calendar,308,21,14.66666667,6433.53,1671.17,1313.65,9418.35
"149 Campus Drive, Warrenton, NC, 27589",-78.1676608,36.4326057,930352,Warren County Schools,Warren County High,D,42,3.19,27589,Regular School,Traditional Calendar,407,29,14.03448276,7542.54,1626.8,2267.22,11436.56
"1490 Friendship-Ledford Road, Winston-Salem, NC, 27107",-80.139914,35.960169,290333,Davidson County Schools,Friendship Elementary,B,80,0,27107,Regular School,Traditional Calendar,472,31,15.22580645,5611.71,782.5,1626.28,8020.49
"1490 Hwy 58 South, Trenton, NC, 28585",-77.3340229,35.0332811,520320,Jones County Schools,Jones Senior High,C,67,0,28585,Regular School,Traditional Calendar,305,28,10.89285714,9321.89,1863.27,2187.92,13373.08
"1495 Ephesus Church Rd, Chapel Hill, NC, 27517",-79.015517,35.9331933,681311,Chapel Hill-Carrboro Schools,Ephesus Elementary,B,77,0,27517,Regular School,Traditional Calendar,438,32,13.6875,5249.49,535.23,5879.17,11663.89
"1495 Pisgah Hwy, Candler, NC, 28715",-82.7312993,35.5035966,110388,Buncombe County Schools,Pisgah Elementary,B,77,0,28715,Regular School,Traditional Calendar,230,17,13.52941176,5669,917.31,2493.43,9079.74
"14950 NC Hwy 902 W, Bear Creek, NC, 27207",-79.4035183,35.6039604,190316,Chatham County Schools,Chatham Central High,B,70,1.85,27207,Regular School,Traditional Calendar,379,28,13.53571429,5698.82,909.6,3226.23,9834.65
"14954 NC Hwy 109 South, Denton, NC, 27239",-80.1004607,35.6742655,290367,Davidson County Schools,South Davidson Middle,C,60,1.31,27239,Regular School,Traditional Calendar,306,25,12.24,5611.71,782.5,1626.28,8020.49
"14956 South NC Hwy 109, Denton, NC, 27239",-80.104271,35.672924,290365,Davidson County Schools,South Davidson High,C,65,1.46,27239,Regular School,Traditional Calendar,410,34,12.05882353,5611.71,782.5,1626.28,8020.49
"1496 Hwy 701 South, Elizabethtown, NC, 28337",-78.5895511,34.6455163,90332,Bladen County Schools,Elizabethtown Middle,D,49,0.47,28337,Regular School,Traditional Calendar,427,24,17.79166667,6433.53,1671.17,1313.65,9418.35
"15 Park South Boulevard, Arden, NC, 28704",-82.5792672,35.4774437,110410,Buncombe County Schools,Avery's Creek Elementary,C,62,0,28704,Regular School,Traditional Calendar,607,44,13.79545455,5669,917.31,2493.43,9079.74
"150 Eagle Pride Drive, East Flat Rock, NC, 28726",-82.423742,35.2976487,450316,Henderson County Schools,East Henderson High,B,73,0.79,28726,Regular School,Traditional Calendar,891,65,13.70769231,5652.12,1041.44,1867.73,8561.29
"150 Koonce Town Road, Cove City, NC, 28523",-77.2881708,35.2512442,250350,Craven County Schools,James W Smith Elementary,C,60,0,28523,Regular School,Traditional Calendar,432,33,13.09090909,5535.55,1174.8,1684.1,8394.45
"150 Lanning Road, Henderson, NC, 27537",-78.4863753,36.3313244,910314,Vance County Schools,Dabney Elementary,C,62,0,27537,Regular School,Traditional Calendar,521,37,14.08108108,7018.48,1619.81,1478.33,10116.62
"150 Lucy Lane, Lewisville, NC, 27023",-80.419325,36.094646,340432,Forsyth County Schools,Lewisville Elementary,B,80,0.16,27023,Regular School,Traditional Calendar,608,33,18.42424242,5616.37,1080.06,2335.59,9032.02
"150 Wolf Meadow Drive SW, Concord, NC, 28027",-80.6267157,35.37634,130344,Cabarrus County Schools,Wolf Meadow Elementary,C,63,0.52,28027,Regular School,Traditional Calendar,576,42,13.71428571,5218.56,638.81,2168.65,8026.02
"1500 Dudley Shoals Road, Granite Falls, NC, 28630",-81.3925641,35.8560165,140316,Caldwell County Schools,Dudley Shoals Elementary,C,62,0.21,28630,Regular School,Traditional Calendar,479,30,15.96666667,6184.32,971.52,1797.03,8952.87
"1500 East Virginia Street, Rocky Mount, NC, 27801",-77.7746633,35.9518834,640334,Nash-Rocky Mount Schools,J W Parker Middle,F,33,0.39,27801,Regular School,Traditional Calendar,254,16,15.875,5964.99,1270.05,1721.59,8956.63
