full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"108 LaFayette Sch Rd, Fuqua-Varina, NC, 27526",-78.811606,35.495345,430352,Harnett County Schools,LaFayette Elementary,B,71,0,27526,Regular School,Traditional Calendar,673,41,16.41463415,5730.98,945.13,1423.2,8099.31
"108 Potter Drive, Jamestown, NC, 27282",-79.9403911,35.9935931,410418,Guilford County Schools,Jamestown Elementary,C,60,0,27282,Regular School,Traditional Calendar,408,26,15.69230769,5453.57,1087.81,2785.51,9326.89
"10801 Plaza Rd Ext, Charlotte, NC, 28215",-80.684667,35.2597621,600516,Charlotte-Mecklenburg Schools,Reedy Creek Elementary,C,68,0,28215,Regular School,Traditional Calendar,800,46,17.39130435,5227.1,942.34,2352.27,8521.71
"109 Community College Rd, Ahoskie, NC, 27910",-77.022818,36.325417,460322,Hertford County Schools,Hertford Co Early College,B,81,0,27910,Regular School,Traditional Calendar,120,7,17.14285714,7665.45,1738.6,1285.09,10689.14
"109 N Ennis Street, Fuquay-Varina, NC, 27526",-78.7940239,35.587462,920424,Wake County Schools,Fuquay-Varina Middle,C,62,0.61,27526,Regular School,Traditional Calendar,824,53,15.54716981,5349.09,659.07,2528.16,8536.32
"109 Ridge St, Knightdale, NC, 27545",-78.4782722,35.7839672,920464,Wake County Schools,Knightdale Elementary,C,55,0.14,27545,Regular School,Traditional Calendar,715,55,13,5349.09,659.07,2528.16,8536.32
"109 Veterans Drive, Kill Devil Hills, NC, 27948",-75.6672495,36.0052985,280328,Dare County Schools,First Flight Middle School,B,70,0.31,27948,Regular School,Traditional Calendar,649,47,13.80851064,5848.88,628.84,4441.8,10919.52
"10900 Penny Rd, Cary, NC, 27518",-78.797412,35.717478,920530,Wake County Schools,Penny Road Elementary,B,79,0.15,27518,Regular School,Traditional Calendar,671,47,14.27659574,5349.09,659.07,2528.16,8536.32
"10921 Leesville Rd, Raleigh, NC, 27613",-78.7327011,35.9186308,920569,Wake County Schools,Sycamore Creek Elementary,A,89,0,27613,Regular School,Year-Round Calendar,1109,70,15.84285714,5349.09,659.07,2528.16,8536.32
"10928 US 301 North, Lumberton, NC, 28360",-79.0773511,34.7444634,780344,Robeson County Schools,Magnolia Elementary,F,37,0.24,28360,Regular School,Traditional Calendar,818,46,17.7826087,6490.65,1703.87,748.37,8942.89
